"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Motz, Glen","Man","Retired police officer","Conservative Party of Canada","Elected",23932
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Sakamoto, Stan","Man","Caterer","Liberal Party of Canada","Defeated",8777
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Taylor, Rod.","Man","Quality control supervisor","Christian Heritage Party of Canada","Defeated",703
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Waege, Beverly Ann","Woman","Retail clerk","New Democratic Party","Defeated",353
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Johnston, Sheldon W.","Man","Chaplain","Libertarian Party of Canada","Defeated",285
"Alberta",2016-10-24,"By-Election","42","Medicine Hat--Cardston--Warner","Cooper, Kayne","Man","Artist","Rhinoceros Party of Canada","Defeated",211
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Benzen, Bob","Man","Businessman","Conservative Party of Canada","Elected",19383
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Forsyth, Scott","Man","Doctor","Liberal Party of Canada","Defeated",5889
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Ahmed, Khalis","Man","Geologist","New Democratic Party","Defeated",785
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Knorren, Taryn","Woman","Student","Green Party of Canada","Defeated",484
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Willerton, Jeff","Man","Sales","Christian Heritage Party of Canada","Defeated",385
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Gerow, Darcy","Woman","Carpenter","Libertarian Party of Canada","Defeated",114
"Alberta",2017-04-03,"By-Election","42","Calgary Heritage","Garvey, Stephen J.","Man","Author","National Advancement Party of Canada","Defeated",76
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Kusie, Stephanie","Woman","Public servant","Conservative Party of Canada","Elected",22454
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Brown, Haley","Woman","Unemployed","Liberal Party of Canada","Defeated",4950
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Heffernan, Holly","Woman","Registered nurse","New Democratic Party","Defeated",735
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Zedic, Ryan","Man","Unemployed","Green Party of Canada","Defeated",605
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Heather, Larry R","Man","Audio producer (radio)","Christian Heritage Party of Canada","Defeated",251
"Alberta",2017-04-03,"By-Election","42","Calgary Midnapore","Chawla, Kulbir Singh","Man","Business/self-employed","National Advancement Party of Canada","Defeated",73
"Alberta",2017-10-23,"By-Election","42","Sturgeon River--Parkland","Lloyd, Dane","Man","Infantry officer","Conservative Party of Canada","Elected",16125
"Alberta",2017-10-23,"By-Election","42","Sturgeon River--Parkland","Gold, Brian","Man","Professor","Liberal Party of Canada","Defeated",2508
"Alberta",2017-10-23,"By-Election","42","Sturgeon River--Parkland","Gawreluck, Shawna","Woman","Medical laboratory technologist","New Democratic Party","Defeated",1606
"Alberta",2017-10-23,"By-Election","42","Sturgeon River--Parkland","Chauvet, Ernest","Man","Self-employed","Christian Heritage Party of Canada","Defeated",603
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Crockatt, Joan","Woman","Journalist","Conservative (1867-1942)","Elected",10191
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Locke, Harvey","Man",NA,"Liberal Party of Canada","Defeated",9033
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Turner, Chris","Man",NA,"Green Party of Canada","Defeated",7090
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Meades, Dan","Man",NA,"New Democratic Party","Defeated",1064
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Grochowski, Antoni","Man","Student/architect/realtor","Independent","Defeated",141
"Alberta",2012-11-26,"By-Election","41","Calgary Centre","Prashad, Tony","Man",NA,"Libertarian Party of Canada","Defeated",121
"Alberta",2014-06-30,"By-Election","41","Fort McMurray--Athabasca","Yurdiga, David","Man","Municipal politician / farmer","Conservative Party of Canada","Elected",5991
"Alberta",2014-06-30,"By-Election","41","Fort McMurray--Athabasca","Harrietha, Kyle","Man","Administrator","Liberal Party of Canada","Defeated",4529
"Alberta",2014-06-30,"By-Election","41","Fort McMurray--Athabasca","McDaniel, Lori","Woman","Heavy equipment operator","New Democratic Party","Defeated",1472
"Alberta",2014-06-30,"By-Election","41","Fort McMurray--Athabasca","Deheer, Brian","Man","Administrator","Green Party of Canada","Defeated",453
"Alberta",2014-06-30,"By-Election","41","Fort McMurray--Athabasca","Moen, Tim","Man","Firefighter","Libertarian Party of Canada","Defeated",381
"Alberta",2014-06-30,"By-Election","41","Macleod","Barlow, John","Man","Journalist","Conservative Party of Canada","Elected",12616
"Alberta",2014-06-30,"By-Election","41","Macleod","Fuller, Dustin","Man","Implementation specialist","Liberal Party of Canada","Defeated",3092
"Alberta",2014-06-30,"By-Election","41","Macleod","Ashmore, Larry","Man","Carpenter","Green Party of Canada","Defeated",991
"Alberta",2014-06-30,"By-Election","41","Macleod","Reimer, David","Man","Pastor","Christian Heritage Party of Canada","Defeated",774
"Alberta",2014-06-30,"By-Election","41","Macleod","Burke, Aileen","Woman","Implementation specialist","New Democratic Party","Defeated",770
"Alberta",2014-11-17,"By-Election","41","Yellowhead","Eglinski, Jim","Man","Retired RCMP","Conservative Party of Canada","Elected",7884
"Alberta",2014-11-17,"By-Election","41","Yellowhead","Maguhn, Ryan Heinz","Man","Teacher","Liberal Party of Canada","Defeated",2518
"Alberta",2014-11-17,"By-Election","41","Yellowhead","Rosendahl, Eric","Man","Retired","New Democratic Party","Defeated",1203
"Alberta",2014-11-17,"By-Election","41","Yellowhead","Williams, Dean","Man","Documentarian/photographer","Independent","Defeated",622
"Alberta",2014-11-17,"By-Election","41","Yellowhead","Lystang, Cory","Man","Pressure truck driver","Libertarian Party of Canada","Defeated",374
"Alberta",2002-05-13,"By-Election","37","Calgary Southwest","Harper, Stephen","Man","Economist","Canadian Reform Conservative Alliance","Elected",13200
"Alberta",2002-05-13,"By-Election","37","Calgary Southwest","PHIPPS, Bill","Man","Minister","New Democratic Party","Defeated",3813
"Alberta",2002-05-13,"By-Election","37","Calgary Southwest","KOHUT, James S.","Man","Pipeline surveyor","Green Party of Canada","Defeated",660
"Alberta",2002-05-13,"By-Election","37","Calgary Southwest","BARRETT, Gordon","Man","Contractor/administrator","Independent","Defeated",428
"Alberta",2002-05-13,"By-Election","37","Calgary Southwest","GRAY, Ron","Man","Party leader","Christian Heritage Party of Canada","Defeated",320
"Alberta",1989-03-13,"By-Election","34","Beaver River","Grey, Deborah C.","Woman","Teacher","Reform Party of Canada","Elected",11154
"Alberta",1989-03-13,"By-Election","34","Beaver River","Broda, Dave","Man","Realtor","Progressive Conservative Party","Defeated",6912
"Alberta",1989-03-13,"By-Election","34","Beaver River","BROUSSEAU, Ernie O.","Man","Businessman","Liberal Party of Canada","Defeated",2756
"Alberta",1989-03-13,"By-Election","34","Beaver River","BONNEAU, Barbara","Man","Farmer","New Democratic Party","Defeated",2081
"Alberta",1986-09-29,"By-Election","33","Pembina","Van De Walle, Walter","Man","Farmer, businessman","Progressive Conservative Party","Elected",16525
"Alberta",1986-09-29,"By-Election","33","Pembina","DENT, Ivor","Man","Educator, businessman","New Democratic Party","Defeated",16251
"Alberta",1986-09-29,"By-Election","33","Pembina","SEIERSEN, Chris","Man","Livestock buyer","Liberal Party of Canada","Defeated",6505
"Alberta",1986-09-29,"By-Election","33","Pembina","CHRISTIE, Doug","Man","Lawyer","Independent","Defeated",2765
"Alberta",1986-09-29,"By-Election","33","Pembina","JAMISON, Ernie","Man","Publisher","Independent","Defeated",1241
"Alberta",1986-09-29,"By-Election","33","Pembina","KNUTSON, Elmer S.","Man","Party leader","Confederation of Regions Western Party","Defeated",926
"Alberta",1986-09-29,"By-Election","33","Pembina","MCBRIDE, Anne C.","Man","Ordained minister","Independent","Defeated",423
"Alberta",1967-11-06,"By-Election","27","Jasper--Edson","Caston, Douglas Marmaduke","Man","Publisher","Progressive Conservative Party","Elected",6818
"Alberta",1967-11-06,"By-Election","27","Jasper--Edson","Sulatycky, Allen B.","Man","Lawyer","Liberal Party of Canada","Defeated",3957
"Alberta",1967-11-06,"By-Election","27","Jasper--Edson","CHRISTENSEN, Robert P.","Man","Teacher","New Democratic Party","Defeated",1749
"Alberta",1955-06-20,"By-Election","22","Battle River--Camrose","Smith, James Alexander","Man","Teacher","Social Credit Party of Canada","Elected",8455
"Alberta",1955-06-20,"By-Election","22","Battle River--Camrose","SMITH, F. Mac","Man","Doctor","Liberal Party of Canada","Defeated",8067
"Alberta",1955-06-20,"By-Election","22","Battle River--Camrose","Irvine, William","Man","Organizer","Co-operative Commonwealth Federation","Defeated",3753
