"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Hogg, Gordie","Hogg","Gordie",NA,"Man","Unemployed","Liberal Party of Canada","Elected",14369
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Findlay, Kerry-Lynne D.","Findlay","Kerry-Lynne","D.","Woman","Lawyer","Conservative Party of Canada","Defeated",12824
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Silveira, Jonathan","Silveira","Jonathan",NA,"Man","Realtor / mortgage broker","New Democratic Party","Defeated",1478
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Colero, Larry","Colero","Larry",NA,"Man","Consensus Facilitator, educator and advisor","Green Party of Canada","Defeated",1247
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Taylor, Rod","Taylor","Rod",NA,"Man","Quality control coordinator","Christian Heritage Party of Canada","Defeated",238
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Wilson, Donald","Wilson","Donald",NA,"Man","Lawyer","Libertarian Party of Canada","Defeated",89
"British Columbia",2017-12-11,"By-Election","42","South Surrey--White Rock","Huenefeld, Michael","Huenefeld","Michael",NA,"Man","Business instructor","Progressive Canadian Party","Defeated",86
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Singh, Jagmeet","Singh","Jagmeet",NA,"Man","Lawyer","New Democratic Party","Elected",8848
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Lee , Richard T.","Lee ","Richard","T.","Man","Parliamentarian","Liberal Party of Canada","Defeated",5919
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Shin, Jay","Shin","Jay",NA,"Man","Lawyer","Conservative Party of Canada","Defeated",5147
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Thompson, Laura-Lynn","Thompson","Laura-Lynn",NA,"Woman","Author","People's Party of Canada","Defeated",2422
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Grimwood , Terry","Grimwood ","Terry",NA,"Man","Builder","Independent","Defeated",242
"British Columbia",2019-02-25,"By-Election","42","Burnaby South","Wu, Valentine","Wu","Valentine",NA,"Man","Consultant","Independent","Defeated",190
