"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Manitoba",2023-06-19,"By-Election","44","Portage--Lisgar","Leslie, Branden","Leslie","Branden",NA,"Man","Agricultural Advocate","Conservative Party of Canada","Elected",20250
"Manitoba",2023-06-19,"By-Election","44","Portage--Lisgar","Bernier, Maxime","Bernier","Maxime",NA,"Man","Politician","People's Party of Canada","Defeated",5352
"Manitoba",2023-06-19,"By-Election","44","Portage--Lisgar","Smith, Kerry","Smith","Kerry",NA,"Woman","Senior Program Director","Liberal Party of Canada","Defeated",2666
"Manitoba",2023-06-19,"By-Election","44","Portage--Lisgar","Tessier-Burch, Lisa","Tessier-Burch","Lisa",NA,"Woman","Teacher","New Democratic Party","Defeated",2208
"Manitoba",2023-06-19,"By-Election","44","Portage--Lisgar","Geddert, Nicolas","Geddert","Nicolas",NA,"Man","Heavy equipment operator","Green Party of Canada","Defeated",704
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Carr, Ben","Carr","Ben",NA,"Man","Consultant","Liberal Party of Canada","Elected",14278
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Stipanovic, Damir","Stipanovic","Damir",NA,"Man","Retired Air Traffic Controller","Conservative Party of Canada","Defeated",6100
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Riddell, Julia","Riddell","Julia",NA,"Woman","Psychologist","New Democratic Party","Defeated",3778
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Hemmerling, Douglas","Hemmerling","Douglas",NA,"Man","Teacher","Green Party of Canada","Defeated",698
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Baer, Tylor","Baer","Tylor",NA,"Man","Tele Fundraiser","People's Party of Canada","Defeated",324
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","CoRhino, Sébastien","CoRhino","Sébastien",NA,"Man","Chef & Dealer","Rhinoceros Party","Defeated",55
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Palsson, Tait","Palsson","Tait",NA,"Man","Student","Independent","Defeated",52
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Carroll, Jevin David","Carroll","Jevin","David","Man","Accountant","Independent","Defeated",36
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Dale, John","Dale","John",NA,"Man","Student","Independent","Defeated",29
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","MacDonald, Glen","MacDonald","Glen",NA,"Man","Retired","Independent","Defeated",27
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Lukawski, Connie","Lukawski","Connie",NA,"Man","Software Developer","Independent","Defeated",24
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Stewart, Paul","Stewart","Paul",NA,"Man","Self employed","Independent","Defeated",22
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Strzalkowski, Patrick","Strzalkowski","Patrick",NA,"Man","Ecologist","Independent","Defeated",19
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Dejewski, Mark","Dejewski","Mark",NA,"Man","Student","Independent","Defeated",18
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Galas, Stella","Galas","Stella",NA,"Woman","Student","Independent","Defeated",16
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Karavas, Demetrios","Karavas","Demetrios",NA,"Man","IT Manager","Independent","Defeated",16
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Beaulieu, Myriam","Beaulieu","Myriam",NA,"Woman","Farmer","Independent","Defeated",14
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Clacio, Christopher","Clacio","Christopher",NA,"Man","Natural Values Clerk","Independent","Defeated",14
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Bourgault, Alain","Bourgault","Alain",NA,"Man","Retired (Available)","Independent","Defeated",13
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Jubinville, Martin ""Acetaria Caesar""","Jubinville","Martin","""Acetaria Caesar""","Man","Group Development Advisor","Independent","Defeated",13
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Krzywinski, Krzysztof","Krzywinski","Krzysztof",NA,"Man","Unemployed","Independent","Defeated",13
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Lamontagne, Alain","Lamontagne","Alain",NA,"Man","Retired","Independent","Defeated",11
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","LeBel, Marie-Hélène","LeBel","Marie-Hélène",NA,"Woman","Teacher","Independent","Defeated",11
"Manitoba",2023-06-19,"By-Election","44","Winnipeg South Centre","Wong, Jordan","Wong","Jordan",NA,"Man","Automotive service technician","Independent","Defeated",11
