"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","Chrétien, Joseph Jacques Jean","Chrétien","Joseph","Jacques Jean","Man","Lawyer","Liberal Party of Canada","Elected",17332
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","Cormier, Guy","Cormier","Guy",NA,"Man","Fisherman","New Democratic Party","Defeated",12587
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","Bowes-LeGood, Margie","Bowes-LeGood","Margie",NA,"Man","Management consultant","Confederation of Regions Western Party","Defeated",2783
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","LeBlanc, Alonzo","LeBlanc","Alonzo",NA,"Man","Union officer","Independent","Defeated",450
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","Boudreau-Padersen, May","Boudreau-Padersen","May",NA,"Man","Housewife","Christian Heritage Party of Canada","Defeated",286
"New Brunswick",1990-12-10,"By-Election","34","Beauséjour","Gold, Bryan","Gold","Bryan",NA,"Man","Student","Rhinoceros Party of Canada","Defeated",246
"New Brunswick",1975-10-14,"By-Election","30","Restigouche","Harquail, Maurice James","Harquail","Maurice","James","Man","Insurance claims adjuster","Liberal Party of Canada","Elected",9158
"New Brunswick",1975-10-14,"By-Election","30","Restigouche","Caron, Roger L.","Caron","Roger","L.","Man","Businessman","Progressive Conservative Party","Defeated",6059
"New Brunswick",1975-10-14,"By-Election","30","Restigouche","Dugas, Edgar","Dugas","Edgar",NA,"Man","Contractor","New Democratic Party","Defeated",1392
"New Brunswick",1975-10-14,"By-Election","30","Restigouche","Audet, Laurence","Audet","Laurence",NA,"Man","Nursing assistant","Social Credit Party of Canada","Defeated",1140
"New Brunswick",1978-10-16,"By-Election","30","Fundy--Royal","Corbett, Robert Alfred","Corbett","Robert","Alfred","Man","Businessman","Progressive Conservative Party","Elected",17327
"New Brunswick",1978-10-16,"By-Election","30","Fundy--Royal","Day, Joseph A.","Day","Joseph","A.","Man","Engineer, lawyer","Liberal Party of Canada","Defeated",12241
"New Brunswick",1978-10-16,"By-Election","30","Fundy--Royal","Halpin, Bruce E.","Halpin","Bruce","E.","Man","Paper maker","New Democratic Party","Defeated",3434
"New Brunswick",1964-11-09,"By-Election","26","Westmorland","Rideout, Margaret Isabel","Rideout","Margaret","Isabel","Woman","Housewife","Liberal Party of Canada","Elected",20401
"New Brunswick",1964-11-09,"By-Election","26","Westmorland","Murphy, J. Edward","Murphy","J.","Edward","Man","Barrister-at-law","Progressive Conservative Party","Defeated",14090
"New Brunswick",1964-11-09,"By-Election","26","Westmorland","Landry, Henry","Landry","Henry",NA,"Man","Businessman","New Democratic Party","Defeated",2615
"New Brunswick",1960-10-31,"By-Election","24","Royal","Flemming, Hugh John","Flemming","Hugh","John","Man","Lumberman","Progressive Conservative Party","Elected",8755
"New Brunswick",1960-10-31,"By-Election","24","Royal","Fredericks, Harold Addison","Fredericks","Harold","Addison","Man","Businessman","Liberal Party of Canada","Defeated",7731
"New Brunswick",1960-10-31,"By-Election","24","Royal","Wheaton, George Henry","Wheaton","George","Henry","Man","Section man","Co-operative Commonwealth Federation","Defeated",379
"New Brunswick",1961-05-29,"By-Election","24","Restigouche--Madawaska","Fournier, Edgar E.","Fournier","Edgar","E.","Man","Teacher","Progressive Conservative Party","Elected",14566
"New Brunswick",1961-05-29,"By-Election","24","Restigouche--Madawaska","Dubé, Jean-Eudes","Dubé","Jean-Eudes",NA,"Man","Lawyer","Liberal Party of Canada","Defeated",13544
"New Brunswick",1955-09-26,"By-Election","22","Restigouche--Madawaska","Van Horne, Joseph Charles","Van Horne","Joseph","Charles","Man","Barrister","Progressive Conservative Party","Elected",12942
"New Brunswick",1955-09-26,"By-Election","22","Restigouche--Madawaska","Bugold, John","Bugold","John",NA,"Man","Barrister","Liberal Party of Canada","Defeated",10770
"New Brunswick",1955-09-26,"By-Election","22","Restigouche--Madawaska","Prickett, Frederick L.","Prickett","Frederick","L.","Man","Contractor","Independent Social Credit","Defeated",737
"New Brunswick",1949-10-24,"By-Election","21","Restigouche--Madawaska","Dubé, Paul-Léon","Dubé","Paul-Léon",NA,"Man","Locomotive engineer","Independent Liberal","Elected",10124
"New Brunswick",1949-10-24,"By-Election","21","Restigouche--Madawaska","Pichette, J.-Albert","Pichette","J.-Albert",NA,"Man","Barrister","Liberal Party of Canada","Defeated",7194
"New Brunswick",1952-05-26,"By-Election","21","Gloucester","Robichaud, Albany M.","Robichaud","Albany","M.","Man","Barrister","Progressive Conservative Party","Elected",11245
"New Brunswick",1952-05-26,"By-Election","21","Gloucester","Robichaud, Hédard-J.","Robichaud","Hédard-J.",NA,"Man","Executive","Liberal Party of Canada","Defeated",10256
"New Brunswick",1952-05-26,"By-Election","21","Victoria--Carleton","Montgomery, Gage Workman","Montgomery","Gage","Workman","Man","Lawyer","Progressive Conservative Party","Elected",9440
"New Brunswick",1952-05-26,"By-Election","21","Victoria--Carleton","Tait, Hugh McKechnie","Tait","Hugh","McKechnie","Man","Editor","Liberal Party of Canada","Defeated",7140
"New Brunswick",1947-10-20,"By-Election","20","York--Sunbury","Gregg, Milton Fowler","Gregg","Milton","Fowler","Man","Educationist","Liberal Party of Canada","Elected",12237
"New Brunswick",1947-10-20,"By-Election","20","York--Sunbury","Sansom, Ernest William","Sansom","Ernest","William","Man","Gentleman","Progressive Conservative Party","Defeated",8119
"New Brunswick",1947-10-20,"By-Election","20","York--Sunbury","Young, Murray","Young","Murray",NA,"Man","Teacher","Co-operative Commonwealth Federation","Defeated",3514
"New Brunswick",1936-08-17,"By-Election","18","Gloucester","Veniot, Clarence Joseph","Veniot","Clarence","Joseph","Man","Physician","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1938-02-21,"By-Election","18","St. John--Albert","McAvity, Allan Getchell","McAvity","Allan","Getchell","Man","Engineer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1930-08-25,"By-Election","17","St. John--Albert","MacLaren, Murray","MacLaren","Murray",NA,"Man","Physician","Conservative (1867-1942)","Elected (Acclamation)",0
"New Brunswick",1932-06-27,"By-Election","17","Royal","Jones, George Burpee","Jones","George","Burpee","Man","Merchant","Conservative (1867-1942)","Elected",7754
"New Brunswick",1932-06-27,"By-Election","17","Royal","White, Donald V.","White","Donald","V.","Man","Barrister-at-law","Liberal Party of Canada","Defeated",7127
"New Brunswick",1933-10-23,"By-Election","17","Restigouche--Madawaska","Michaud, Joseph Enoil","Michaud","Joseph","Enoil","Man","Barrister-at-law","Liberal Party of Canada","Elected",11958
"New Brunswick",1933-10-23,"By-Election","17","Restigouche--Madawaska","Dubé, Paul-Léon","Dubé","Paul-Léon",NA,"Man","Locomotive engineer","Conservative (1867-1942)","Defeated",5498
"New Brunswick",1926-11-02,"By-Election","16","Gloucester","Veniot, Peter John","Veniot","Peter","John","Man","Postmaster General","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1927-06-16,"By-Election","16","Victoria--Carleton","Foster, Albion Roudolph","Foster","Albion","Roudolph","Man",NA,"Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1922-01-19,"By-Election","14","Westmorland","Copp, Arthur Bliss","Copp","Arthur","Bliss","Man","Lawyer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1922-11-20,"By-Election","14","Gloucester","Robichaud, Jean George","Robichaud","Jean","George","Man","Fish merchant","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1923-12-20,"By-Election","14","Kent","Doucet, Alexandre Joseph","Doucet","Alexandre","Joseph","Man","Farmer","Conservative (1867-1942)","Elected",3643
"New Brunswick",1923-12-20,"By-Election","14","Kent","Bourgeois, Alfred Edmond","Bourgeois","Alfred","Edmond","Man",NA,"Liberal Party of Canada","Defeated",3435
"New Brunswick",1924-10-07,"By-Election","14","Northumberland","Snowball, William Bunting","Snowball","William","Bunting","Man","Lumber merchant","Liberal Party of Canada","Elected",6222
"New Brunswick",1924-10-07,"By-Election","14","Northumberland","Hickey, Clifford Patrick","Hickey","Clifford","Patrick","Man","Druggist","Conservative (1867-1942)","Defeated",5583
"New Brunswick",1919-10-17,"By-Election","13","Victoria--Carleton","Caldwell, Thomas Wakem","Caldwell","Thomas","Wakem","Man","Farmer","United Farmers","Elected",6500
"New Brunswick",1919-10-17,"By-Election","13","Victoria--Carleton","Melville, Weldon Wilbur","Melville","Weldon","Wilbur","Man",NA,"Unknown","Defeated",2956
"New Brunswick",1920-09-20,"By-Election","13","St. John--Albert","Wigmore, Rupert Wilson","Wigmore","Rupert","Wilson","Man","Civil engineer","Conservative (1867-1942)","Elected",8125
"New Brunswick",1920-09-20,"By-Election","13","St. John--Albert","Emery, Alban Frederick","Emery","Alban","Frederick","Man",NA,"Liberal Party of Canada","Defeated",3970
"New Brunswick",1921-05-28,"By-Election","13","York--Sunbury","Hanson, Richard Burpee","Hanson","Richard","Burpee","Man","Barrister","Conservative (1867-1942)","Elected",7107
"New Brunswick",1921-05-28,"By-Election","13","York--Sunbury","Stairs, Ernest Whitfield","Stairs","Ernest","Whitfield","Man",NA,"Unknown","Defeated",6160
"New Brunswick",1911-10-27,"By-Election","12","St. John (City and County of)","Hazen, John Douglas","Hazen","John","Douglas","Man","Lawyer","Conservative (1867-1942)","Elected (Acclamation)",0
"New Brunswick",1913-12-31,"By-Election","12","York","McLeod, Harry Fulton","McLeod","Harry","Fulton","Man","Lawyer","Conservative (1867-1942)","Elected (Acclamation)",0
"New Brunswick",1915-02-01,"By-Election","12","Westmorland","Copp, Arthur Bliss","Copp","Arthur","Bliss","Man","Lawyer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1907-03-05,"By-Election","10","Victoria","Michaud, Pius","Michaud","Pius",NA,"Man","Lawyer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1907-09-18,"By-Election","10","St. John (City and County of)","Pugsley, William","Pugsley","William",NA,"Man","Lawyer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1901-12-28,"By-Election","9","York","Gibson, Alexander","Gibson","Alexander",NA,"Man","Businessman","Liberal Party of Canada","Elected",2800
"New Brunswick",1901-12-28,"By-Election","9","York","Mcleod, Joseph","Mcleod","Joseph",NA,"Man",NA,"Independent Liberal","Defeated",1976
"New Brunswick",1904-01-30,"By-Election","9","Westmorland","Emmerson, Henry Robert","Emmerson","Henry","Robert","Man","Lawyer","Liberal Party of Canada","Elected (Acclamation)",0
"New Brunswick",1904-02-16,"By-Election","9","St. John (City of )","Daniel, John Waterhouse","Daniel","John","Waterhouse","Man","Physician","Conservative (1867-1942)","Elected",3709
