"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Newfoundland and Labrador",2017-12-11,"By-Election","42","Bonavista--Burin--Trinity","Rogers, Churence","Rogers","Churence",NA,"Man","Retired","Liberal Party of Canada","Elected",8717
"Newfoundland and Labrador",2017-12-11,"By-Election","42","Bonavista--Burin--Trinity","Windsor, Mike","Windsor","Mike",NA,"Man","Retired","Conservative Party of Canada","Defeated",2878
"Newfoundland and Labrador",2017-12-11,"By-Election","42","Bonavista--Burin--Trinity","Downey, Tyler James","Downey","Tyler","James","Man","Physicist","New Democratic Party","Defeated",598
"Newfoundland and Labrador",2017-12-11,"By-Election","42","Bonavista--Burin--Trinity","Stapleton, Shane","Stapleton","Shane",NA,"Man","Grocery store worker","Libertarian Party of Canada","Defeated",263
"Newfoundland and Labrador",2017-12-11,"By-Election","42","Bonavista--Burin--Trinity","Colbourne, Tyler John","Colbourne","Tyler","John","Man","Student","Green Party of Canada","Defeated",138
"Newfoundland and Labrador",2013-05-13,"By-Election","41","Labrador","Jones, Yvonne","Jones","Yvonne",NA,"Woman","Journalist","Liberal Party of Canada","Elected",5812
"Newfoundland and Labrador",2013-05-13,"By-Election","41","Labrador","Penashue, Peter","Penashue","Peter",NA,"Man","Businessman","Conservative (1867-1942)","Defeated",3924
"Newfoundland and Labrador",2013-05-13,"By-Election","41","Labrador","Borlase, Harry","Borlase","Harry",NA,"Man","Northern analyst","New Democratic Party","Defeated",2324
"Newfoundland and Labrador",2013-05-13,"By-Election","41","Labrador","Andrews, Norman","Andrews","Norman",NA,"Man","Driver","Libertarian Party of Canada","Defeated",50
"Newfoundland and Labrador",2005-05-24,"By-Election","38","Labrador","Russell, Todd Norman","Russell","Todd","Norman","Man","President/CEO of Labrador Metis Nation","Liberal Party of Canada","Elected",5438
"Newfoundland and Labrador",2005-05-24,"By-Election","38","Labrador","Letto, Graham","Letto","Graham",NA,"Man","Retired","Conservative (1867-1942)","Defeated",3415
"Newfoundland and Labrador",2005-05-24,"By-Election","38","Labrador","Fry, Frances","Fry","Frances",NA,"Woman","Social worker","New Democratic Party","Defeated",1045
"Newfoundland and Labrador",2005-05-24,"By-Election","38","Labrador","Condon, Ern","Condon","Ern",NA,"Man","Retiree/guidance counsellor","Independent","Defeated",598
"Newfoundland and Labrador",2005-05-24,"By-Election","38","Labrador","Crummey, Jason","Crummey","Jason",NA,"Man","Writer/Author","Green Party of Canada","Defeated",68
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Efford, Ruben  John","Efford","Ruben"," John","Man","Politician","Liberal Party of Canada","Elected",18665
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Brazil, Michelle","Brazil","Michelle",NA,"Woman","Coordinator","Progressive Conservative Party","Defeated",5281
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Gill, Jim","Gill","Jim",NA,"Man","Financial services representative","New Democratic Party","Defeated",588
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Tulett, David","Tulett","David",NA,"Man","Associate professor","Canadian Reform Conservative Alliance","Defeated",166
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Bradshaw, Christopher John","Bradshaw","Christopher","John","Man","Business person","Green Party of Canada","Defeated",139
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Bonavista--Trinity--Conception","Rockwood, Brent","Rockwood","Brent",NA,"Man","Businessman","No affiliation to a recognised party","Defeated",106
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Gander--Grand Falls","Barnes, Rex","Barnes","Rex",NA,"Man","Paramedic","Progressive Conservative Party","Elected",9273
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Gander--Grand Falls","Tulk, Beaton","Tulk","Beaton",NA,"Man","Politician","Liberal Party of Canada","Defeated",8552
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Gander--Grand Falls","Lannon, John","Lannon","John",NA,"Man","Sub-contractor","New Democratic Party","Defeated",873
"Newfoundland and Labrador",2002-05-13,"By-Election","37","Gander--Grand Falls","Hartle, Garry","Hartle","Garry",NA,"Man","Consultant","Canadian Reform Conservative Alliance","Defeated",422
"Newfoundland and Labrador",2000-05-15,"By-Election","36","St. John's West","Hearn, Loyola","Hearn","Loyola",NA,"Man","Chief of staff","Progressive Conservative Party","Elected",11392
"Newfoundland and Labrador",2000-05-15,"By-Election","36","St. John's West","Malone, Greg","Malone","Greg",NA,"Man","Writer, actor","New Democratic Party","Defeated",11036
"Newfoundland and Labrador",2000-05-15,"By-Election","36","St. John's West","Sparrow, Anthony G.","Sparrow","Anthony","G.","Man","Businessman","Liberal Party of Canada","Defeated",8032
"Newfoundland and Labrador",2000-05-15,"By-Election","36","St. John's West","Hall, Frank","Hall","Frank",NA,"Man","Political advisor","Canadian Reform Conservative Alliance","Defeated",1315
