"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Armstrong, Scott","Armstrong","Scott",NA,"Man","Educator","Conservative (1867-1942)","Elected",11167
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Austin, Mark","Austin","Mark",NA,"Man","Sustainability consultant","New Democratic Party","Defeated",6267
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Burrows, Jim","Burrows","Jim",NA,"Man","Dairy farmer","Liberal Party of Canada","Defeated",5193
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Blanch, Jason","Blanch","Jason",NA,"Man","Environmental educator","Green Party of Canada","Defeated",807
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Hnatiuk, Jim","Hnatiuk","Jim",NA,"Man","Naval electronics technician","Christian Heritage Party of Canada","Defeated",778
"Nova Scotia",2009-11-09,"By-Election","40","Cumberland--Colchester--Musquodoboit Valley","Graves, Kate","Graves","Kate",NA,"Woman","Human ecologist","Independent","Defeated",149
"Nova Scotia",2000-09-11,"By-Election","36","Kings--Hants","Clark, Charles Joseph","Clark","Charles","Joseph","Man","Party leader","Progressive Conservative Party","Elected",14525
"Nova Scotia",2000-09-11,"By-Election","36","Kings--Hants","Johnson, Kaye","Johnson","Kaye",NA,"Woman","Educator","New Democratic Party","Defeated",7375
"Nova Scotia",2000-09-11,"By-Election","36","Kings--Hants","Fulton, Gerry","Fulton","Gerry",NA,"Man","Businessman","Canadian Reform Conservative Alliance","Defeated",4385
"Nova Scotia",2000-09-11,"By-Election","36","Kings--Hants","Neron, Alex","Neron","Alex",NA,"Man","Filmmaker","No affiliation to a recognised party","Defeated",670
"Nova Scotia",2000-09-11,"By-Election","36","Kings--Hants","Turmel, John C.","Turmel","John","C.","Man","Banking systems engineer","Independent","Defeated",221
"Nova Scotia",1983-08-29,"By-Election","32","Central Nova","Mulroney, Martin Brian","Mulroney","Martin","Brian","Man","Barrister","Progressive Conservative Party","Elected",18882
