"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Gender","Occupation","Political_Affiliation","Result","Votes"
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Ien, Marci","Woman",NA,"Liberal Party of Canada","Elected",10579
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Paul, Annamie","Woman",NA,"Green Party of Canada","Defeated",8250
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Brian, Chang","Man",NA,"New Democratic Party","Defeated",4280
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Gauri Sharma, Benjamin","Man",NA,"Conservative Party of Canada","Defeated",1435
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Bawa, Baljit","Man",NA,"People's Party of Canada","Defeated",271
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Komar, Keith","Man",NA,"Libertarian Party of Canada","Defeated",135
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Clarke, Kevin","Man",NA,"Independent","Defeated",123
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Cappelletti, Dwayne","Man",NA,"Free Party Canada","Defeated",74
"Ontario",2020-10-26,"By-Election","43","Toronto Centre","Znoneofthe, Above","Man",NA,"No affiliation to a recognised party","Defeated",56
"Ontario",2020-10-26,"By-Election","43","York Centre","Saks, Ya'ara","Woman",NA,"Liberal Party of Canada","Elected",8253
"Ontario",2020-10-26,"By-Election","43","York Centre","Tiangson, Julius","Man",NA,"Conservative Party of Canada","Defeated",7552
"Ontario",2020-10-26,"By-Election","43","York Centre","Vásquez Jiménez , Andrea","Woman",NA,"New Democratic Party","Defeated",1046
"Ontario",2020-10-26,"By-Election","43","York Centre","Bernier, Maxime","Man",NA,"People's Party of Canada","Defeated",642
"Ontario",2020-10-26,"By-Election","43","York Centre","Zavarella, Sasha","Woman",NA,"Green Party of Canada","Defeated",461
"Ontario",2020-10-26,"By-Election","43","York Centre","Turmel, John The Engineer","Man",NA,"Independent","Defeated",104
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Ng, Mary","Woman","Political advisor","Liberal Party of Canada","Elected",9881
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Paranchothy, Ragavan","Man","Broadcaster","Conservative Party of Canada","Defeated",7501
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Hines, Gregory","Man","Upport worker/business owner","New Democratic Party","Defeated",671
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Baxter, Dorian","Man","Clergyman","Progressive Canadian Party","Defeated",566
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Bergmann, Caryn","Woman","Quality assurance associate","Green Party of Canada","Defeated",426
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Reilly, Brendan Thomas","Man","Model system designer","Libertarian Party of Canada","Defeated",118
"Ontario",2017-04-03,"By-Election","42","Markham--Thornhill","Znoneofthe, Above","Man","Customer service/innovator","Independent","Defeated",77
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Fortier, Mona","Woman","Self-employed/consultant","Liberal Party of Canada","Elected",15195
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Taman, Emilie","Woman","Lawyer","New Democratic Party","Defeated",8557
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Papara, Adrian Paul","Man","Political staff","Conservative Party of Canada","Defeated",4484
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Dookeran, Nira","Woman","Teacher","Green Party of Canada","Defeated",999
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Turmel, John C.","Man","Engineer","Independent","Defeated",147
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Wilson, Damien","Man","Barista","Libertarian Party of Canada","Defeated",122
"Ontario",2017-04-03,"By-Election","42","Ottawa--Vanier","Wilson, Christina","Woman","Cleaning business owner","Independent","Defeated",99
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Yip, Jean","Woman","Lunch supervisor","Liberal Party of Canada","Elected",9088
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Zou, Dasong","Man","Business integration manager","Conservative Party of Canada","Defeated",7458
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Chang, Brian","Man","Journalist","New Democratic Party","Defeated",931
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Coutinho, Jude","Man","Catechist","Christian Heritage Party of Canada","Defeated",372
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","DiPasquale, Michael","Man","Real estate agent","Green Party of Canada","Defeated",252
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Zhu, Tom","Man","Professional engineer","Independent","Defeated",148
"Ontario",2017-12-11,"By-Election","42","Scarborough--Agincourt","Turmel, John ""The Engineer""","Man","Engineer","Independent","Defeated",145
"Ontario",2018-12-03,"By-Election","42","Leeds--Grenville--Thousand Islands and Rideau Lakes","Barrett, Michael","Man","Human Resources Manager","Conservative Party of Canada","Elected",16865
"Ontario",2018-12-03,"By-Election","42","Leeds--Grenville--Thousand Islands and Rideau Lakes","McFall, Mary Jean","Woman",NA,"Liberal Party of Canada","Defeated",10443
"Ontario",2018-12-03,"By-Election","42","Leeds--Grenville--Thousand Islands and Rideau Lakes","Taylor, Michelle","Woman",NA,"New Democratic Party","Defeated",883
"Ontario",2018-12-03,"By-Election","42","Leeds--Grenville--Thousand Islands and Rideau Lakes","Rekmans, Lorraine","Woman",NA,"Green Party of Canada","Defeated",859
"Ontario",2018-12-03,"By-Election","42","Leeds--Grenville--Thousand Islands and Rideau Lakes","Turmel, John The Engineer","Man",NA,"Independent","Defeated",111
