"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Lambropoulos, Emmanuella","Lambropoulos","Emmanuella",NA,"Woman","Teacher","Liberal Party of Canada","Elected",11461
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Yu, Jimmy","Yu","Jimmy",NA,"Man","Business person","Conservative Party of Canada","Defeated",3784
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Green, Daniel","Green","Daniel",NA,"Man","Environmentalist","Green Party of Canada","Defeated",1548
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Auclair, Mathieu","Auclair","Mathieu",NA,"Man","Volunteer","New Democratic Party","Defeated",1511
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Fayad, William","Fayad","William",NA,"Man","Retired","Bloc Québécois","Defeated",951
"Quebec",2017-04-03,"By-Election","42","Saint-Laurent","Blais-Leduc, Chinook","Blais-Leduc","Chinook",NA,"Man","Boxer","Rhinoceros Party of Canada","Defeated",129
"Quebec",2017-10-23,"By-Election","42","Lac-Saint-Jean","Hébert, Richard","Hébert","Richard",NA,"Man","Mayor","Liberal Party of Canada","Elected",13442
"Quebec",2017-10-23,"By-Election","42","Lac-Saint-Jean","Leclerc, Rémy","Leclerc","Rémy",NA,"Man","Political attaché","Conservative Party of Canada","Defeated",8710
"Quebec",2017-10-23,"By-Election","42","Lac-Saint-Jean","Maltais, Marc","Maltais","Marc",NA,"Man","Regional councillor FTQ","Bloc Québécois","Defeated",8141
"Quebec",2017-10-23,"By-Election","42","Lac-Saint-Jean","Dallaire, Gisèle","Dallaire","Gisèle",NA,"Woman","Industrial psychologist","New Democratic Party","Defeated",4079
"Quebec",2017-10-23,"By-Election","42","Lac-Saint-Jean","Laporte, Yves","Laporte","Yves",NA,"Man","Musician","Green Party of Canada","Defeated",457
"Quebec",2018-06-18,"By-Election","42","Chicoutimi--Le Fjord","Martel, Richard","Martel","Richard",NA,"Man","Commissioner LNAH","Conservative Party of Canada","Elected",12600
"Quebec",2018-06-18,"By-Election","42","Chicoutimi--Le Fjord","Boivin, Lina","Boivin","Lina",NA,"Woman","Consultant","Liberal Party of Canada","Defeated",7044
"Quebec",2018-06-18,"By-Election","42","Chicoutimi--Le Fjord","Dubois, Éric","Dubois","Éric",NA,"Man","Union advisor","New Democratic Party","Defeated",2065
"Quebec",2018-06-18,"By-Election","42","Chicoutimi--Le Fjord","Bouchard-Tremblay, Catherine","Bouchard-Tremblay","Catherine",NA,"Woman","political attaché","Bloc Québécois","Defeated",1337
"Quebec",2018-06-18,"By-Election","42","Chicoutimi--Le Fjord","Youde, Lynda","Youde","Lynda",NA,"Woman","Executive secretary","Green Party of Canada","Defeated",738
