"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Saskatchewan",2017-12-11,"By-Election","42","Battlefords--Lloydminster","Falk, Rosemarie","Falk","Rosemarie",NA,"Woman","Stay at home parent","Conservative Party of Canada","Elected",8952
"Saskatchewan",2017-12-11,"By-Election","42","Battlefords--Lloydminster","Fedler, Matt","Fedler","Matt",NA,"Man","Security agent","New Democratic Party","Defeated",1698
"Saskatchewan",2017-12-11,"By-Election","42","Battlefords--Lloydminster","Ingram, Larry","Ingram","Larry",NA,"Man","Sheet metal worker","Liberal Party of Canada","Defeated",1345
"Saskatchewan",2017-12-11,"By-Election","42","Battlefords--Lloydminster","Finlayson, Ken","Finlayson","Ken",NA,"Man","Retired","Independent","Defeated",681
"Saskatchewan",2017-12-11,"By-Election","42","Battlefords--Lloydminster","Potter-Pihach, Yvonne","Potter-Pihach","Yvonne",NA,"Woman","Agricultural inspector","Green Party of Canada","Defeated",200
"Saskatchewan",2008-03-17,"By-Election","39","Desnethé--Missinippi--Churchill River","Clarke, Rob","Clarke","Rob",NA,"Man","Peace officer","Conservative Party of Canada","Elected",4992
"Saskatchewan",2008-03-17,"By-Election","39","Desnethé--Missinippi--Churchill River","Beatty, Joan","Beatty","Joan",NA,"Woman","Journalist","Liberal Party of Canada","Defeated",3296
"Saskatchewan",2008-03-17,"By-Election","39","Desnethé--Missinippi--Churchill River","Morin, Brian","Morin","Brian",NA,"Man","Fire protection officer","New Democratic Party","Defeated",1830
"Saskatchewan",2008-03-17,"By-Election","39","Desnethé--Missinippi--Churchill River","Orr, Robin","Orr","Robin",NA,"Man","Computer technician","Green Party of Canada","Defeated",320
"Saskatchewan",1999-11-15,"By-Election","36","Saskatoon--Rosetown--Biggar","Gruending, Dennis","Gruending","Dennis",NA,"Man","Journalist","New Democratic Party","Elected",6353
"Saskatchewan",1999-11-15,"By-Election","36","Saskatoon--Rosetown--Biggar","Dayday, Henry","Dayday","Henry",NA,"Man","Mayor","Liberal Party of Canada","Defeated",2448
"Saskatchewan",1999-11-15,"By-Election","36","Saskatoon--Rosetown--Biggar","Gabruch, Rich","Gabruch","Rich",NA,"Man","Lawyer","Progressive Conservative Party","Defeated",2242
"Saskatchewan",1999-11-15,"By-Election","36","Saskatoon--Rosetown--Biggar","Greenfield, David","Greenfield","David",NA,"Man","Citizen activist","Green Party of Canada","Defeated",175
"Saskatchewan",1999-11-15,"By-Election","36","Saskatoon--Rosetown--Biggar","Cetinski, Ace","Cetinski","Ace",NA,"Man","Chartered Accountant","No affiliation to a recognised party","Defeated",111
"Saskatchewan",1979-11-19,"By-Election","31","Prince Albert","Hovdebo, Stanley J.","Hovdebo","Stanley","J.","Man","Educator","New Democratic Party","Elected",10941
"Saskatchewan",1979-11-19,"By-Election","31","Prince Albert","Eggum, Kris","Eggum","Kris",NA,"Man","Lawyer","Progressive Conservative Party","Defeated",10385
"Saskatchewan",1979-11-19,"By-Election","31","Prince Albert","Harradence, J.H. Clyne","Harradence","J.H.","Clyne","Man","Lawyer","Liberal Party of Canada","Defeated",7336
"Saskatchewan",1979-11-19,"By-Election","31","Prince Albert","DE BRUYNE, John L.","DE BRUYNE","John","L.","Man","Salesman","Independent","Defeated",147
"Saskatchewan",1971-11-08,"By-Election","28","Assiniboia","Knight, William George","Knight","William","George","Man","Teacher","New Democratic Party","Elected",9956
"Saskatchewan",1971-11-08,"By-Election","28","Assiniboia","Watson, Lawrence E.","Watson","Lawrence","E.","Man","Farmer","Progressive Conservative Party","Defeated",8172
"Saskatchewan",1971-11-08,"By-Election","28","Assiniboia","Hooker, Jim","Hooker","Jim",NA,"Man","Farmer","Liberal Party of Canada","Defeated",7051
"Saskatchewan",1964-06-22,"By-Election","26","Saskatoon","Jones, Eloise May","Jones","Eloise","May","Woman","Housewife","Progressive Conservative Party","Elected",16551
"Saskatchewan",1964-06-22,"By-Election","26","Saskatoon","Buckwold, Sidney Labe","Buckwold","Sidney","Labe","Man","Wholesale distributor","Liberal Party of Canada","Defeated",14168
"Saskatchewan",1964-06-22,"By-Election","26","Saskatoon","Harding, Jim","Harding","Jim",NA,"Man","Teacher","New Democratic Party","Defeated",9459
"Saskatchewan",1948-10-25,"By-Election","20","Rosthern","Boucher, William Albert","Boucher","William","Albert","Man","Farmer and merchant","Liberal Party of Canada","Elected",6233
"Saskatchewan",1948-10-25,"By-Election","20","Rosthern","Makaroff, Peter George","Makaroff","Peter","George","Man","Barrister","Co-operative Commonwealth Federation","Defeated",3278
"Saskatchewan",1948-10-25,"By-Election","20","Rosthern","Beilhartz, George William","Beilhartz","George","William","Man","Business manager","Social Credit Party of Canada","Defeated",2369
"Saskatchewan",1940-08-19,"By-Election","19","Saskatoon City","Bence, Alfred Henry","Bence","Alfred","Henry","Man","Barrister","Conservative (1867-1942)","Elected",4798
"Saskatchewan",1940-08-19,"By-Election","19","Saskatoon City","Macphail, Agnes Campbell","Macphail","Agnes","Campbell","Woman","Schoolteacher","United Reform","Defeated",4057
"Saskatchewan",1940-08-19,"By-Election","19","Saskatoon City","Hayes, Michael Patrick","Hayes","Michael","Patrick","Man","Auditor","Liberal Party of Canada","Defeated",2421
