"Province_Territory","Election_Date","Election_Type","Parliament","Constituency","Candidate","Last_Name","First_Name","Middle_Names","Gender","Occupation","Political_Affiliation","Result","Votes"
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Richards, Blake","Richards","Blake",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",43677
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Zagoda, Sarah","Zagoda","Sarah",NA,"Woman","Mother / Driver","New Democratic Party","Defeated",12482
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Gamble, David","Gamble","David",NA,"Man","Self-Employed","Liberal Party of Canada","Defeated",9572
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Wellwood, Nadine","Wellwood","Nadine",NA,"Woman","Chartered Investment Manager","People's Party of Canada","Defeated",5808
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Sloan, Derek","Sloan","Derek",NA,"Man","Parliamentarian","No affiliation to a recognised party","Defeated",2020
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Elnaga, Tariq","Elnaga","Tariq",NA,"Man","Human Resources Consultant","Maverick Party","Defeated",1475
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Blum, Aidan","Blum","Aidan",NA,"Man","Service Industry Worker","Green Party of Canada","Defeated",1405
"Alberta",2021-09-20,"General","44","Banff--Airdrie","O'Driscoll, Caroline","O'Driscoll","Caroline",NA,"Woman","Barrister and Solicitor","Independent","Defeated",489
"Alberta",2021-09-20,"General","44","Banff--Airdrie","Voss, Ron","Voss","Ron",NA,"Man","Retired","Independent","Defeated",60
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Kurek, Damien C.","Kurek","Damien","C.","Man","Parliamentarian / Farmer","Conservative Party of Canada","Elected",41819
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Ratushniak, Tonya","Ratushniak","Tonya",NA,"Woman","Registered Psychiatric Nurse / Mental Therapist","New Democratic Party","Defeated",5761
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Trepanier, Dennis","Trepanier","Dennis",NA,"Man","Information Management Consultant","People's Party of Canada","Defeated",5440
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","McLeod, Leah Diane","McLeod","Leah","Diane","Woman","Library Experience Supervisor","Liberal Party of Canada","Defeated",2515
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Golka, Jeff","Golka","Jeff",NA,"Man","Realtor","Maverick Party","Defeated",2393
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Brisbin, Daniel","Brisbin","Daniel",NA,"Man","Lookout Observer (Wildfire)","Green Party of Canada","Defeated",554
"Alberta",2021-09-20,"General","44","Battle River--Crowfoot","Irwin, John","Irwin","John",NA,"Man","Unemployed Pensioner Retired","Veterans Coalition Party of Canada","Defeated",178
"Alberta",2021-09-20,"General","44","Bow River","Shields, Martin","Shields","Martin",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",35676
"Alberta",2021-09-20,"General","44","Bow River","Bridges, Jonathan","Bridges","Jonathan",NA,"Man","Mechanic","People's Party of Canada","Defeated",5108
"Alberta",2021-09-20,"General","44","Bow River","MacLean, Michael","MacLean","Michael",NA,"Man","Office Professional","New Democratic Party","Defeated",4726
"Alberta",2021-09-20,"General","44","Bow River","Shawile, Getu","Shawile","Getu",NA,"Man","Professional Engineer","Liberal Party of Canada","Defeated",3869
"Alberta",2021-09-20,"General","44","Bow River","Bliss, Orrin","Bliss","Orrin",NA,"Man","Superintendent","Maverick Party","Defeated",1368
"Alberta",2021-09-20,"General","44","Bow River","Lipp, Tom","Lipp","Tom",NA,"Man","Financial Advisor","Christian Heritage Party of Canada","Defeated",391
"Alberta",2021-09-20,"General","44","Calgary Centre","McLean, Greg","McLean","Greg",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",30375
"Alberta",2021-09-20,"General","44","Calgary Centre","Grover, Sabrina","Grover","Sabrina",NA,"Woman","Consultant","Liberal Party of Canada","Defeated",17593
"Alberta",2021-09-20,"General","44","Calgary Centre","Estevez Moreno, Juan","Estevez Moreno","Juan",NA,"Man","Sales","New Democratic Party","Defeated",9694
"Alberta",2021-09-20,"General","44","Calgary Centre","Mullins, Austin","Mullins","Austin",NA,"Man","Barista","Green Party of Canada","Defeated",971
"Alberta",2021-09-20,"General","44","Calgary Centre","Pawlowski, Dawid","Pawlowski","Dawid",NA,"Man","Preacher","Christian Heritage Party of Canada","Defeated",575
"Alberta",2021-09-20,"General","44","Calgary Confederation","Webber, Len","Webber","Len",NA,"Man","Parliamentarian","Conservative Party of Canada","Elected",28367
"Alberta",2021-09-20,"General","44","Calgary Confederation","Sigler, Murray","Sigler","Murray",NA,"Man","Lawyer and Business Executive","Liberal Party of Canada","Defeated",17560
"Alberta",2021-09-20,"General","44","Calgary Confederation","Akter, Gulshan","Akter","Gulshan",NA,"Woman","Business","New Democratic Party","Defeated",10561
"Alberta",2021-09-20,"General","44","Calgary Confederation","Gao, Edward","Gao","Edward",NA,"Man","Engineer","People's Party of Canada","Defeated",2670
"Alberta",2021-09-20,"General","44","Calgary Confederation","Odd, Natalie","Odd","Natalie",NA,"Woman","Executive Director","Green Party of Canada","Defeated",2295
"Alberta",2021-09-20,"General","44","Calgary Confederation","Hunter, Kevan","Hunter","Kevan",NA,"Man","Teacher","Marxist-Leninist Party of Canada","Defeated",178
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Hallan, Jasraj Singh","Hallan","Jasraj","Singh","Man","Parliamentarian","Conservative Party of Canada","Elected",15434
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Stein, Jordan","Stein","Jordan",NA,"Woman","Entrepreneur","Liberal Party of Canada","Defeated",9608
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Gunn, Keira","Gunn","Keira",NA,"Woman","College Instructor","New Democratic Party","Defeated",6254
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Holub, Dwayne","Holub","Dwayne",NA,"Man","Condominium Manager","People's Party of Canada","Defeated",2468
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Rutherford, Carey","Rutherford","Carey",NA,"Man","Publisher","Green Party of Canada","Defeated",699
"Alberta",2021-09-20,"General","44","Calgary Forest Lawn","Trautman, Jonathan","Trautman","Jonathan",NA,"Man","Shipper","Communist Party of Canada","Defeated",185
"Alberta",2021-09-20,"General","44","Calgary Heritage","Benzen, Bob","Benzen","Bob",NA,"Man","Businessman","Conservative Party of Canada","Elected",30870
"Alberta",2021-09-20,"General","44","Calgary Heritage","Johnson, Kathleen M.","Johnson","Kathleen","M.","Woman","Retail Manager","New Democratic Party","Defeated",9320
"Alberta",2021-09-20,"General","44","Calgary Heritage","Forsyth, Scott","Forsyth","Scott",NA,"Man","Family Physician","Liberal Party of Canada","Defeated",8960
"Alberta",2021-09-20,"General","44","Calgary Heritage","Bedard, Bailey","Bedard","Bailey",NA,"Man","Restaurant Manager","People's Party of Canada","Defeated",2682
"Alberta",2021-09-20,"General","44","Calgary Heritage","Labell, Malka","Labell","Malka",NA,"Woman","Business Owner","Green Party of Canada","Defeated",766
"Alberta",2021-09-20,"General","44","Calgary Heritage","Freeman, Annelise","Freeman","Annelise",NA,"Woman","Geologist","Maverick Party","Defeated",714
"Alberta",2021-09-20,"General","44","Calgary Heritage","Dejewski, Mark","Dejewski","Mark",NA,"Man","Student","Rhinoceros Party","Defeated",230
"Alberta",2021-09-20,"General","44","Calgary Midnapore","Kusie, Stephanie","Kusie","Stephanie",NA,"Woman","Parliamentarian","Conservative Party of Canada","Elected",39147
"Alberta",2021-09-20,"General","44","Calgary Midnapore","Bhachu, Gurmit","Bhachu","Gurmit",NA,"Man","Educator","New Democratic Party","Defeated",11826
