"Election_Date","Election_Type","Expected"
1867-08-07,"General",179
1867-11-28,"By-Election",1
1867-12-11,"By-Election",1
1868-03-13,"By-Election",1
1868-04-13,"By-Election",1
1868-04-20,"By-Election",1
1868-08-14,"By-Election",1
1868-10-17,"By-Election",1
1868-10-28,"By-Election",1
1868-10-30,"By-Election",1
1868-12-24,"By-Election",1
1869-01-18,"By-Election",1
1869-02-17,"By-Election",1
1869-04-20,"By-Election",2
1869-04-24,"By-Election",1
1869-07-12,"By-Election",1
1869-07-14,"By-Election",1
1869-09-09,"By-Election",1
1869-10-30,"By-Election",1
1869-11-13,"By-Election",1
1869-11-29,"By-Election",2
1870-04-27,"By-Election",1
1870-06-15,"By-Election",1
1870-06-23,"By-Election",1
1870-07-05,"By-Election",1
1870-07-18,"By-Election",1
1870-08-15,"By-Election",1
1870-09-01,"By-Election",1
1870-11-08,"By-Election",1
1870-11-18,"By-Election",1
1870-11-29,"By-Election",1
1871-03-02,"By-Election",3
1871-03-03,"By-Election",1
1871-03-20,"By-Election",1
1871-06-30,"By-Election",1
1871-09-15,"By-Election",1
1871-11-11,"By-Election",1
1871-11-17,"By-Election",1
1871-12-13,"By-Election",1
1871-12-15,"By-Election",1
1871-12-19,"By-Election",2
1872-07-20,"General",193
1872-11-23,"By-Election",1
1873-02-15,"By-Election",1
1873-03-28,"By-Election",1
1873-04-10,"By-Election",1
1873-07-05,"By-Election",1
1873-07-07,"By-Election",2
1873-09-18,"By-Election",1
1873-09-29,"By-Election",3
1873-10-13,"By-Election",1
1873-10-28,"By-Election",1
1873-11-25,"By-Election",1
1873-11-26,"By-Election",1
1873-11-27,"By-Election",2
1873-11-28,"By-Election",1
1873-12-01,"By-Election",2
1873-12-03,"By-Election",2
1873-12-04,"By-Election",1
1873-12-09,"By-Election",1
1873-12-18,"By-Election",1
1873-12-20,"By-Election",2
1874-01-22,"General",196
1874-04-07,"By-Election",1
1874-05-23,"By-Election",1
1874-07-25,"By-Election",1
1874-08-04,"By-Election",1
1874-08-11,"By-Election",1
1874-08-25,"By-Election",1
1874-09-03,"By-Election",1
1874-10-20,"By-Election",1
1874-10-22,"By-Election",1
1874-10-24,"By-Election",1
1874-10-26,"By-Election",1
1874-10-28,"By-Election",1
1874-11-04,"By-Election",2
1874-11-17,"By-Election",2
1874-12-04,"By-Election",1
1874-12-10,"By-Election",2
1874-12-12,"By-Election",1
1874-12-13,"By-Election",1
1874-12-16,"By-Election",2
1874-12-17,"By-Election",2
1874-12-22,"By-Election",2
1874-12-26,"By-Election",1
1874-12-29,"By-Election",1
1874-12-30,"By-Election",1
1875-01-12,"By-Election",1
1875-01-16,"By-Election",1
1875-01-18,"By-Election",1
1875-01-25,"By-Election",1
1875-01-28,"By-Election",1
1875-02-11,"By-Election",1
1875-02-18,"By-Election",1
1875-02-20,"By-Election",1
1875-02-26,"By-Election",1
1875-02-27,"By-Election",1
1875-03-18,"By-Election",1
1875-03-31,"By-Election",1
1875-04-28,"By-Election",1
1875-05-20,"By-Election",1
1875-05-21,"By-Election",1
1875-06-02,"By-Election",1
1875-06-19,"By-Election",1
1875-06-22,"By-Election",1
1875-06-29,"By-Election",1
1875-07-07,"By-Election",2
1875-07-10,"By-Election",1
1875-09-17,"By-Election",1
1875-10-30,"By-Election",1
1875-11-06,"By-Election",1
1875-11-23,"By-Election",1
1875-11-26,"By-Election",1
1875-12-14,"By-Election",1
1875-12-27,"By-Election",1
1875-12-31,"By-Election",1
