"Election_Date","Election_Type","Parliament","Province_Territory","Constituency","Combined_Key","Expected_Candidates","Expected_DM"
1867-08-07,"General","1","Ontario","Addington","1867-08-07, Addington, Ontario",7,1
1867-08-07,"General","1","Ontario","Algoma","1867-08-07, Algoma, Ontario",3,1
1867-08-07,"General","1","Ontario","Bothwell","1867-08-07, Bothwell, Ontario",2,1
1867-08-07,"General","1","Ontario","Brant North","1867-08-07, Brant North, Ontario",2,1
1867-08-07,"General","1","Ontario","Brant South","1867-08-07, Brant South, Ontario",2,1
1867-08-07,"General","1","Ontario","Brockville","1867-08-07, Brockville, Ontario",2,1
1867-08-07,"General","1","Ontario","Bruce North","1867-08-07, Bruce North, Ontario",2,1
1867-08-07,"General","1","Ontario","Bruce South","1867-08-07, Bruce South, Ontario",3,1
1867-08-07,"General","1","Ontario","Cardwell","1867-08-07, Cardwell, Ontario",2,1
1867-08-07,"General","1","Ontario","Carleton","1867-08-07, Carleton, Ontario",2,1
1867-08-07,"General","1","Ontario","Cornwall","1867-08-07, Cornwall, Ontario",2,1
1867-08-07,"General","1","Ontario","Dundas","1867-08-07, Dundas, Ontario",1,1
1867-08-07,"General","1","Ontario","Durham East","1867-08-07, Durham East, Ontario",2,1
1867-08-07,"General","1","Ontario","Durham West","1867-08-07, Durham West, Ontario",2,1
1867-08-07,"General","1","Ontario","Elgin East","1867-08-07, Elgin East, Ontario",2,1
1867-08-07,"General","1","Ontario","Elgin West","1867-08-07, Elgin West, Ontario",2,1
1867-08-07,"General","1","Ontario","Essex","1867-08-07, Essex, Ontario",2,1
1867-08-07,"General","1","Ontario","Frontenac","1867-08-07, Frontenac, Ontario",2,1
1867-08-07,"General","1","Ontario","Glengarry","1867-08-07, Glengarry, Ontario",1,1
1867-08-07,"General","1","Ontario","Grenville South","1867-08-07, Grenville South, Ontario",2,1
1867-08-07,"General","1","Ontario","Grey North","1867-08-07, Grey North, Ontario",2,1
1867-08-07,"General","1","Ontario","Grey South","1867-08-07, Grey South, Ontario",2,1
1867-08-07,"General","1","Ontario","Haldimand","1867-08-07, Haldimand, Ontario",2,1
1867-08-07,"General","1","Ontario","Halton","1867-08-07, Halton, Ontario",2,1
1867-08-07,"General","1","Ontario","Hamilton","1867-08-07, Hamilton, Ontario",1,1
1867-08-07,"General","1","Ontario","Hastings East","1867-08-07, Hastings East, Ontario",2,1
1867-08-07,"General","1","Ontario","Hastings North","1867-08-07, Hastings North, Ontario",3,1
1867-08-07,"General","1","Ontario","Hastings West","1867-08-07, Hastings West, Ontario",2,1
1867-08-07,"General","1","Ontario","Huron North","1867-08-07, Huron North, Ontario",3,1
1867-08-07,"General","1","Ontario","Huron South","1867-08-07, Huron South, Ontario",3,1
1867-08-07,"General","1","Ontario","Kent","1867-08-07, Kent, Ontario",2,1
1867-08-07,"General","1","Ontario","Kingston","1867-08-07, Kingston, Ontario",2,1
1867-08-07,"General","1","Ontario","Lambton","1867-08-07, Lambton, Ontario",2,1
1867-08-07,"General","1","Ontario","Lanark North","1867-08-07, Lanark North, Ontario",1,1
1867-08-07,"General","1","Ontario","Lanark South","1867-08-07, Lanark South, Ontario",1,1
1867-08-07,"General","1","Ontario","Leeds North and Grenville North","1867-08-07, Leeds North and Grenville North, Ontario",2,1
1867-08-07,"General","1","Ontario","Leeds South","1867-08-07, Leeds South, Ontario",2,1
1867-08-07,"General","1","Ontario","Lennox","1867-08-07, Lennox, Ontario",2,1
1867-08-07,"General","1","Ontario","Lincoln","1867-08-07, Lincoln, Ontario",1,1
1867-08-07,"General","1","Ontario","London","1867-08-07, London, Ontario",2,1
1867-08-07,"General","1","Ontario","Middlesex East","1867-08-07, Middlesex East, Ontario",2,1
1867-08-07,"General","1","Ontario","Middlesex North","1867-08-07, Middlesex North, Ontario",2,1
1867-08-07,"General","1","Ontario","Middlesex West","1867-08-07, Middlesex West, Ontario",2,1
1867-08-07,"General","1","Ontario","Monck","1867-08-07, Monck, Ontario",2,1
1867-08-07,"General","1","Ontario","Niagara","1867-08-07, Niagara, Ontario",2,1
