ParliamentNumber,ElectionId,IsGeneral,ElectionDate,ConstituencyId,ConstituencyEn,ConstituencyFr,ProvinceEn,ProvinceFr,TypeEn,TypeFr,IsPreliminary,PreliminaryResultsEn,PreliminaryResultsFr,DisplayName,ElectionCandidateId,ElectionProcessCandidateId,PersonId,PersonLastFirstName,PersonRoleId,ElectionCanadaFirstName,ElectionCanadaLastName,ElectionCanadaMiddleName,Gender,OccupationEn,OccupationFr,PartyOrganizationId,PartyNameEn,PartyNameFr,Votes,HasProfile,ResultLongEn,ResultLongFr,OtherResultLongEn,OtherResultLongFr,NotesEn,NotesFr,InternalNotes
5,4,False,1885-02-05 00:00:00+00:00,8005,Soulanges,Soulanges,Quebec,Québec,,,False,,,"Bain, James William",10340,0,9392.0,"Bain, James William",,James William,Bain,,M,Merchant,Marchand,2158,Conservative (1867-1942),Conservateur (1867-1942),0,True,Elected,Élu,Acclamation,Acclamation,,,
5,44,False,1886-09-08 00:00:00+00:00,3465,Haldimand,Haldimand,Ontario,Ontario,,,False,,,"Colter, Charles Wesley",10347,0,4363.0,"Colter, Charles Wesley",,Charles Wesley,COLTER,,M,Lawyer,Avocat,4831,Liberal Party of Canada,Parti libéral du Canada,0,True,Elected,Élu,Acclamation,Acclamation,,,
5,69,False,1883-11-26 00:00:00+00:00,4767,Lennox,Lennox,Ontario,Ontario,,,False,,,"Pruyn, Matthew William",10371,0,5832.0,"Pruyn, Matthew William",,Matthew William,PRUYN,,M,Merchant,Marchand,2158,Conservative (1867-1942),Conservateur (1867-1942),1401,True,Defeated,Défait,,,,,
5,69,False,1883-11-26 00:00:00+00:00,4767,Lennox,Lennox,Ontario,Ontario,,,False,,,"Allison, David Wright",10334,0,1319.0,"Allison, David Wright",,David Wright,ALLISON,,M,Farmer,Agriculteur,4831,Liberal Party of Canada,Parti libéral du Canada,1405,True,Elected,Élu,,,,,
5,84,False,1885-08-27 00:00:00+00:00,1722,Cardwell,Cardwell,Ontario,Ontario,,,False,,,"White, Thomas",23666,0,5097.0,"White, Thomas",,Thomas,WHITE,,M,Journalist,Journaliste,2158,Conservative (1867-1942),Conservateur (1867-1942),0,True,Elected,Élu,Acclamation,Acclamation,,,
5,85,False,1883-10-25 00:00:00+00:00,4796,Lévis,Lévis,Quebec,Québec,,,False,,,"SAMSON, O.B.",406,0,0.0,,,O.B.,SAMSON,,M,,,9463,Unknown,Inconnu,703,False,Defeated,Défait,,,,,
5,85,False,1883-10-25 00:00:00+00:00,4796,Lévis,Lévis,Quebec,Québec,,,False,,,"Belleau, Isidore Noël",400,0,9749.0,"Belleau, Isidore Noël",,Isidore Noël,BELLEAU,,M,Lawyer,Avocat,2158,Conservative (1867-1942),Conservateur (1867-1942),1551,True,Elected,Élu,,,,,
5,92,False,1884-08-19 00:00:00+00:00,6978,Queen's County,Queen (Comté de),Prince Edward Island,Île-du-Prince-Édouard,,,False,,,"Jenkins, John Theophilus",10360,0,8703.0,"Jenkins, John Theophilus",,John Theophilus,JENKINS,,M,Physician,Médecin,4842,Liberal-Conservative,Libéral-conservateur,3428,True,Elected,Élu,,,,,
5,92,False,1884-08-19 00:00:00+00:00,6978,Queen's County,Queen (Comté de),Prince Edward Island,Île-du-Prince-Édouard,,,False,,,"Welsh, William",10386,0,9146.0,"Welsh, William",,William,WELSH,,M,Shipowner,Armateur,9463,Unknown,Inconnu,3388,False,Defeated,Défait,,,,,
5,140,False,1884-06-26 00:00:00+00:00,2311,Cumberland,Cumberland,Nova Scotia,Nouvelle-Écosse,,,False,,,"Townshend, Charles James",10378,0,7580.0,"Townshend, Charles James",,Charles James,TOWNSHEND,,M,Lawyer,Avocat,4842,Liberal-Conservative,Libéral-conservateur,0,True,Elected,Élu,Acclamation,Acclamation,,,
5,149,False,1883-12-14 00:00:00+00:00,5294,Middlesex West,Middlesex-Ouest,Ontario,Ontario,,,False,,,"Roome, William Frederick",10374,0,13618.0,"Roome, William Frederick",,William Frederick,ROOME,,M,Physician,Médecin,2158,Conservative (1867-1942),Conservateur (1867-1942),1739,True,Defeated,Défait,,,,,
5,149,False,1883-12-14 00:00:00+00:00,5294,Middlesex West,Middlesex-Ouest,Ontario,Ontario,,,False,,,"Cameron, Donald Mackenzie",10344,0,3298.0,"Cameron, Donald Mackenzie",,Donald Mackenzie,CAMERON,,M,Journalist,Journaliste,4831,Liberal Party of Canada,Parti libéral du Canada,1771,True,Elected,Élu,,,,,
5,151,False,1882-10-27 00:00:00+00:00,8005,Soulanges,Soulanges,Quebec,Québec,,,False,,,"Bain, James William",10338,0,9392.0,"Bain, James William",,James William,BAIN,,M,Merchant,Marchand,2158,Conservative (1867-1942),Conservateur (1867-1942),745,True,Defeated,Défait,,,,,
5,151,False,1882-10-27 00:00:00+00:00,8005,Soulanges,Soulanges,Quebec,Québec,,,False,,,"Saveuse de Beaujeu, Georges-Raoul-Léotale-Guichart-Humbert",10342,0,8721.0,"Saveuse de Beaujeu, Georges-Raoul-Léotale-Guichart-Humbert",,Georges-Raoul-Léotale-Guichart-Humbert,Saveuse de Beaujeu,,M,Seigneur of Soulanges,Seigneur de Soulanges,2158,Conservative (1867-1942),Conservateur (1867-1942),748,True,Elected,Élu,,,,,
5,165,False,1885-10-16 00:00:00+00:00,572,Antigonish,Antigonish,Nova Scotia,Nouvelle-Écosse,,,False,,,"McIntosh, Alexander",33864,0,0.0,,,Alexander,McIntosh,,M,Physician,Médecin,3858,Independent Conservative,Indépendant conservateur,792,False,Defeated,Défait,,,,,
